Player;PTS;FGA;AST;DRB;ORB;STL;BLK;TOV
Tyler Dorsey;3.0;1.7;0.0;0.3;0.3;0.0;0.0;0.0
Luguentz Dort;13.7;11.8;2.1;2.9;1.7;1.0;0.3;1.2
Ayo Dosunmu;8.6;7.1;2.6;2.2;0.6;0.8;0.3;1.2
Devon Dotson;0.5;1.7;1.3;0.7;1.0;0.8;0.0;0.5
Jeff Dowtin;2.4;2.3;1.2;0.7;0.2;0.4;0.1;0.2
PJ Dozier;1.4;2.1;0.6;0.8;0.1;0.4;0.1;0.3
Goran DragiÄá;6.3;5.8;2.6;1.1;0.3;0.2;0.1;1.1
Goran DragiÄá;6.4;5.9;2.7;1.1;0.3;0.2;0.1;1.1
Goran DragiÄá;5.6;5.1;1.7;1.3;0.4;0.3;0.0;1.0
Andre Drummond;6.0;4.1;0.5;4.6;2.1;0.7;0.4;1.1
Chris Duarte;7.9;7.2;1.4;2.1;0.4;0.5;0.2;0.9
David Duke Jr.;3.7;3.4;0.9;0.8;0.5;0.4;0.0;0.8
Kris Dunn;13.2;9.8;5.6;4.1;0.4;1.1;0.5;1.6
Kevin Durant;29.1;18.3;5.0;6.3;0.4;0.7;1.4;3.3
Kevin Durant;29.7;18.8;5.3;6.4;0.4;0.8;1.5;3.5
Kevin Durant;26.0;16.0;3.5;6.0;0.4;0.3;1.3;2.5
Jalen Duren;9.1;5.9;1.1;5.5;3.4;0.7;0.9;1.4
Tari Eason;9.3;8.0;1.1;3.7;2.4;1.2;0.6;1.2
Anthony Edwards;24.6;19.5;4.4;5.2;0.6;1.6;0.7;3.3
Kessler Edwards;2.8;2.6;0.6;1.1;0.6;0.4;0.2;0.4
Kessler Edwards;1.1;1.7;0.1;0.6;0.4;0.2;0.1;0.3
Kessler Edwards;3.9;3.1;1.0;1.4;0.8;0.5;0.2;0.4
Keon Ellis;1.5;1.0;0.4;0.3;0.3;0.3;0.1;0.1
Joel Embiid;33.1;20.1;4.2;8.4;1.7;1.0;1.7;3.4
Drew Eubanks;6.6;4.3;1.3;3.7;1.7;0.5;1.3;0.9
Bruno Fernando;3.9;2.9;0.8;2.1;1.4;0.2;0.9;0.6
Bruno Fernando;4.1;3.0;1.0;2.4;1.5;0.2;1.0;0.6
Bruno Fernando;3.4;2.4;0.1;1.1;0.8;0.0;0.4;0.6
Dorian Finney-Smith;8.3;7.6;1.5;3.1;1.7;0.8;0.5;0.9
Dorian Finney-Smith;9.1;7.8;1.5;3.0;1.7;1.0;0.5;0.9
Dorian Finney-Smith;7.2;7.3;1.6;3.1;1.8;0.7;0.6;1.0
Malachi Flynn;4.6;4.6;1.3;1.2;0.3;0.4;0.1;0.5
Simone Fontecchio;6.3;6.0;0.8;1.1;0.6;0.3;0.2;0.8
